cliente_sk,cliente_id,nombre_completo,edad,sexo,estado_civil,profesion,ingreso_mensual,ciudad,segmento_rfm,antiguedad_meses,fecha_registro,fecha_carga,prob_churn
9,9,Patricio Amo,57,M,Soltero,Ingeniero,1364.19,Huancayo,,24,2024-06-22,2026-06-28 16:57:12.401188,0.99
10,10,Ruy Salgado,32,M,Soltero,Empresario,2503.73,Arequipa,,91,2018-11-23,2026-06-28 16:57:12.401188,1.0
23,23,Evita Villegas,28,F,Conviviente,Independiente,1882.8,Lima,,101,2018-01-14,2026-06-28 16:57:12.401188,1.0
32,32,Darío Hoz,53,M,Soltero,Médico,5493.75,Huancayo,Clientes Leales,22,2024-08-07,2026-06-28 16:57:12.401188,0.23
56,56,Arturo Benavente,25,M,Divorciado,Docente,3161.39,Iquitos,Clientes Regulares,1,2026-04-29,2026-06-28 16:57:12.401188,0.05
57,57,Rosa María Julián,31,F,Conviviente,Enfermero,1092.77,Arequipa,Clientes Leales,74,2020-04-13,2026-06-28 16:57:12.401188,0.37
58,58,África Gimeno,75,F,Divorciado,Ingeniero,1501.88,Lima,Clientes Regulares,89,2019-01-14,2026-06-28 16:57:12.401188,0.02
59,59,Javiera Fábregas,39,F,Casado,Técnico,2205.61,Piura,Clientes Regulares,16,2025-02-22,2026-06-28 16:57:12.401188,0.84
60,60,Fabio Alfaro,53,M,Soltero,Médico,3246.48,Lima,Clientes Regulares,44,2022-10-18,2026-06-28 16:57:12.401188,0.1
61,61,Agapito Almagro,52,M,Viudo,Abogado,1356.27,Lima,Clientes Leales,52,2022-02-21,2026-06-28 16:57:12.401188,0.58
62,62,Amparo Cañete,37,F,Casado,Administrador,1617.45,Lima,En Riesgo,96,2018-06-13,2026-06-28 16:57:12.401188,0.1
63,63,Lourdes Cáceres,60,F,Conviviente,Técnico,930.94,Lima,Clientes Leales,54,2021-12-19,2026-06-28 16:57:12.401188,0.18
64,64,Íngrid Villegas,33,F,Soltero,Abogado,882.07,Trujillo,Campeones,78,2019-12-27,2026-06-28 16:57:12.401188,0.15
